"Agriculture, forestry and fishing",14391809.0
Crops,7962514.0
Livestock,4619756.0
Forestry and logging,872335.0
Fishing and aquaculture,937204.0
Mining and quarrying,588961.0
Primary,14980771.0
Manufacturing,13758793.0
"Electricity, gas, water supply & other utility services",2000998.0
Construction,11264451.0
Secondary,27024240.0
"Trade, repair, hotels and restaurants",13995159.0
Trade & repair services,12989747.0
Hotels & restaurants,1005412.0
"Transport, storage, communication & services related to broadcasting",6818560.0
Railways,587419.0
Road transport,4295245.0
Water transport,44776
Air transport,171388
Services incidental to transport,281108.0
Storage,18106.0
Communication & services related to broadcasting,1420517.0
Financial services,3936489.0
"Real estate, ownership of dwelling & professional services",14740245.0
Public administration,3571292.0
Other services,8059922.0
Tertiary,51121666.0
TOTAL GSVA at basic prices,93126678.0
